,Frequency,dB,Phase
144,87500000.0,22.451912,-67.876457
145,88000000.0,22.465383,-69.461433
146,88500000.0,22.459139,-70.974174
147,89000000.0,22.457466,-72.50824
148,89500000.0,22.452209,-74.056015
149,90000000.0,22.453465,-75.591858
150,90500000.0,22.45021,-77.131615
151,91000000.0,22.447412,-78.654831
152,91500000.0,22.446956,-80.189911
153,92000000.0,22.447982,-81.733894
154,92500000.0,22.444001999999998,-83.266945
155,93000000.0,22.447747,-84.80883
156,93500000.0,22.449181,-86.351997
157,94000000.0,22.463552999999997,-87.875832
158,94500000.0,22.460222,-89.41909
159,95000000.0,22.454859,-90.937752
160,95500000.0,22.450371,-92.471535
161,96000000.0,22.445348,-93.999741
162,96500000.0,22.442729999999997,-95.546562
163,97000000.0,22.439931,-97.07151
164,97500000.0,22.438418,-98.598892
165,98000000.0,22.439048,-100.1409
166,98500000.0,22.438762,-101.66457
167,99000000.0,22.437886,-103.20043
168,99500000.0,22.441001999999997,-104.7511
169,100000000.0,22.433869,-106.26895
170,100500000.0,22.445729999999998,-107.84907
171,101000000.0,22.431871,-109.37643
172,101500000.0,22.426814,-110.89349
173,102000000.0,22.420724999999997,-112.42544
174,102500000.0,22.414771000000002,-113.94875
175,103000000.0,22.408501,-115.47649
176,103500000.0,22.405663,-117.00668
177,104000000.0,22.401146,-118.54495
178,104500000.0,22.394075,-120.06236
179,105000000.0,22.391109,-121.60667
180,105500000.0,22.387082,-123.14173
181,106000000.0,22.382783,-124.64617
182,106500000.0,22.379742,-126.18658
183,107000000.0,22.374324,-127.72055
184,107500000.0,22.37283,-129.26059
185,108000000.0,22.373705,-130.81088
186,108500000.0,22.366751,-132.31952
187,109000000.0,22.364829999999998,-133.84627
188,109500000.0,22.362389,-135.36259
189,110000000.0,22.3594,-136.90877
190,110500000.0,22.358589000000002,-138.42923
191,111000000.0,22.35226,-139.96428
192,111500000.0,22.348827999999997,-141.50867
193,112000000.0,22.347617,-143.02684
194,112500000.0,22.343187,-144.54921
195,113000000.0,22.342146,-146.07056
196,113500000.0,22.338057,-147.60086
197,114000000.0,22.333801,-149.13419
198,114500000.0,22.332276999999998,-150.673
199,115000000.0,22.330109999999998,-152.18317
200,115500000.0,22.329514,-153.6956
201,116000000.0,22.326067000000002,-155.22688
202,116500000.0,22.325145,-156.74986
203,117000000.0,22.326138,-158.26926
204,117500000.0,22.321042,-159.78816
205,118000000.0,22.324571,-161.29417
206,118500000.0,22.326549,-162.81439
207,119000000.0,22.324447,-164.32536
208,119500000.0,22.326926,-165.83542
209,120000000.0,22.326636999999998,-167.33501
210,120500000.0,22.327315,-168.86942
211,121000000.0,22.331682,-170.38239
212,121500000.0,22.325665,-171.87889
213,122000000.0,22.321657000000002,-173.38458
214,122500000.0,22.315365,-174.90717
215,123000000.0,22.311389,-176.38239
216,123500000.0,22.312888,-177.89931
217,124000000.0,22.310143,-179.38828
218,124500000.0,22.310643,179.10193
219,125000000.0,22.305473,177.59448
220,125500000.0,22.305785999999998,176.07565
221,126000000.0,22.299139,174.60684
222,126500000.0,22.301043,173.08636
223,127000000.0,22.298437,171.6071
224,127500000.0,22.29803,170.10176
225,128000000.0,22.303062,168.59309
226,128500000.0,22.301834,167.10045
227,129000000.0,22.300862000000002,165.62575
228,129500000.0,22.302748,164.10394
229,130000000.0,22.30572,162.5985
230,130500000.0,22.305913,161.0976
231,131000000.0,22.306789000000002,159.60725
232,131500000.0,22.314054,158.10811
233,132000000.0,22.313654,156.5995
234,132500000.0,22.320128,155.11066
235,133000000.0,22.320127,153.60361
236,133500000.0,22.326003999999998,152.10692
237,134000000.0,22.330579999999998,150.60925
238,134500000.0,22.338274,149.1011
239,135000000.0,22.343743,147.60117
240,135500000.0,22.342081999999998,146.10081
241,136000000.0,22.340043,144.58722
242,136500000.0,22.343224,143.10049
243,137000000.0,22.340511,141.58965
244,137500000.0,22.343031,140.08682
245,138000000.0,22.348461999999998,138.59007
246,138500000.0,22.345499,137.08224
247,139000000.0,22.348329,135.57269
248,139500000.0,22.351563,134.07207
249,140000000.0,22.360025999999998,132.57127
250,140500000.0,22.364551,131.05817
251,141000000.0,22.36902,129.52837
252,141500000.0,22.376459,128.02054
253,142000000.0,22.38584,126.51814
254,142500000.0,22.399034999999998,124.99377
255,143000000.0,22.383993,123.51363
256,143500000.0,22.378346,122.01549
257,144000000.0,22.382457000000002,120.48479
258,144500000.0,22.378097,119.00557
259,145000000.0,22.381526,117.5006
260,145500000.0,22.376680999999998,115.97662
261,146000000.0,22.372393000000002,114.50137
262,146500000.0,22.377789,112.99181
263,147000000.0,22.372642,111.48267
264,147500000.0,22.3766,109.97278
265,148000000.0,22.377282,108.48978
266,148500000.0,22.391191,106.96764
267,149000000.0,22.399324,105.47134
268,149500000.0,22.3963,103.95742
269,150000000.0,22.39011,102.46085
270,150500000.0,22.3915,100.98941
271,151000000.0,22.395788,99.486671
272,151500000.0,22.40127,97.971451
273,152000000.0,22.406434,96.48896
274,152500000.0,22.429605000000002,94.993454
275,153000000.0,22.441675,93.490608
276,153500000.0,22.449922,91.984039
277,154000000.0,22.453231000000002,90.508286
278,154500000.0,22.477935000000002,88.982056
279,155000000.0,22.498261,87.496719
280,155500000.0,22.516509,86.000023
281,156000000.0,22.546720999999998,84.48143
282,156500000.0,22.713559,82.983978
283,157000000.0,22.709189000000002,81.517075
284,157500000.0,22.705655,80.036415
285,158000000.0,22.709648,78.550102
286,158500000.0,22.710155,77.062218
287,159000000.0,22.707380999999998,75.562202
288,159500000.0,22.709681,74.11631
289,160000000.0,22.715401999999997,72.626579
290,160500000.0,22.71724,71.135345
291,161000000.0,22.721743,69.654915
292,161500000.0,22.730418999999998,68.164268
293,162000000.0,22.743552,66.692589
294,162500000.0,22.744258000000002,65.197647
295,163000000.0,22.750120000000003,63.745739
296,163500000.0,22.754962,62.252647
297,164000000.0,22.762846,60.782429
298,164500000.0,22.768425999999998,59.315311
299,165000000.0,22.770983,57.836842
300,165500000.0,22.780005,56.353939
301,166000000.0,22.788517,54.874256
302,166500000.0,22.793048,53.398308
303,167000000.0,22.799962999999998,51.928932
304,167500000.0,22.812804,50.441708
305,168000000.0,22.813681000000003,48.983692
306,168500000.0,22.823768,47.520458
307,169000000.0,22.836683999999998,46.039165
308,169500000.0,22.840835,44.562035
309,170000000.0,22.850265999999998,43.106293
310,170500000.0,22.857677000000002,41.617466
311,171000000.0,22.86758,40.146069
312,171500000.0,22.872616999999998,38.65554
313,172000000.0,22.880366000000002,37.188339
314,172500000.0,22.888429000000002,35.719025
315,173000000.0,22.893141,34.261635
316,173500000.0,22.903936,32.799866
317,174000000.0,22.906612000000003,31.294765
318,174500000.0,22.919444,29.820173
319,175000000.0,22.925882,28.330805
320,175500000.0,22.933789,26.878389
321,176000000.0,22.946826,25.376713
322,176500000.0,22.949951,23.907635
323,177000000.0,22.958838999999998,22.436352
324,177500000.0,22.962094,20.955057
325,178000000.0,22.968898,19.478558
326,178500000.0,22.974514,18.009605
327,179000000.0,22.984074,16.538689
328,179500000.0,22.986694999999997,15.04689
329,180000000.0,22.993966999999998,13.559531
330,180500000.0,23.002481,12.089817
331,181000000.0,23.00634,10.621528
332,181500000.0,23.009021,9.1453505
333,182000000.0,23.0121,7.6797915
334,182500000.0,23.016575,6.2014475
335,183000000.0,23.027099,4.7123408
336,183500000.0,23.032705,3.239933
337,184000000.0,23.036353,1.7398719
338,184500000.0,23.03931,0.27056637
339,185000000.0,23.043108,-1.2042027
340,185500000.0,23.050466999999998,-2.6746228
341,186000000.0,23.050131999999998,-4.1540098
342,186500000.0,23.055037,-5.6486692
343,187000000.0,23.055937,-7.0974078
344,187500000.0,23.062151,-8.5789862
345,188000000.0,23.066029,-10.079154
346,188500000.0,23.069012,-11.535544
347,189000000.0,23.071829,-13.030777
348,189500000.0,23.067068,-14.483499
349,190000000.0,23.074199999999998,-15.967134
350,190500000.0,23.072054,-17.438059
351,191000000.0,23.079720000000002,-18.926731
352,191500000.0,23.079331,-20.401474
353,192000000.0,23.08006,-21.889418
354,192500000.0,23.083385,-23.367434
355,193000000.0,23.082469,-24.829409
356,193500000.0,23.082511,-26.316986
357,194000000.0,23.078999,-27.788397
358,194500000.0,23.083586,-29.253843
359,195000000.0,23.082449,-30.730209
360,195500000.0,23.077221,-32.217178
361,196000000.0,23.078735,-33.685242
362,196500000.0,23.073298,-35.162148
363,197000000.0,23.071817,-36.642776
364,197500000.0,23.068970999999998,-38.123871
365,198000000.0,23.066932,-39.583633
366,198500000.0,23.068483,-41.05912
367,199000000.0,23.058094,-42.530964
